编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
6-D,某军舰在①地（40°N，160°E）向正南发射射程为2000千米的远程导弹，其落点位于	西半球、北寒带,None,,3,22 24,5 7 14,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000千米 的 远程 导弹 ， 其 落点 位于 西半球 、 北寒带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 北寒带,DT NN P loc PU num PU num PU P NN VV NN P num DEG NN NN PU PN NN VV term PU term,,位于_0（落点，西半球、北寒带）,位于_0（落点，西半球、北寒带）,0_21,0_21,位于,位于,3,22,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 北寒带,某 军舰 在 ①地 （ 40°N ， 160°E ） 向 正南 发射 射程 为 2000 千米 的 远程 导弹 ， 其 落点 位于 西半球 、 北寒带,DT NN P loc PU num PU num PU P NR VV NN P num DEG NN NN PU PN NN VV term PU term,( (IP (NP (DP (DT 某)) (NP (NN 军舰))) (VP (PP (P 在) (NP (NR ①地) (PRN (PU （) (QP (CD 40°N) (PU ，) (CD 160°E)) (PU ）)))) (PP (P 向) (NP (NN 正南))) (VP (VV 发射) (IP (NP (NN 射程)) (VP (PP (P 为) (NP (NP (DNP (QP (CD 2000千米)) (DEG 的)) (NP (NN 远程) (NN 导弹))) (PU ，) (NP (NP (PN 其)) (NP (NN 落点))))) (VP (VV 位于) (NP (NN 西半球) (PU 、) (NN 北寒带)))))))) )
7-A,第16届亚运会于2010年11月12日20时在广州开幕。位于图中③地的我国某旅游团在当地观看开幕式直播的时间是	11月11日14时,None,3 24,5 11,,0,第16届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月11日14时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 11日 14时,num NN P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV NN NN DEG NN VC time,,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月11日14时）,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月11日14时）,,,实体信息陈述,实体信息陈述,3 11 24,5,第 16 届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月11日14时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 11日 14时,num NR P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV JJ NN DEG NN VC time,( (IP (IP (NP (QP (CD 第16届)) (NP (NN 亚运会))) (VP (PP (P 于) (NP (NT 2010年11月12日20时))) (PP (P 在) (NP (NR 广州))) (VP (VV 开幕)))) (PU 。) (IP (IP (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (DNP (NP (NR ③地)) (DEG 的)) (NP (NN 我国))))) (NP (NP (DP (DT 某)) (NP (NN 旅游团))) (DNP (PP (P 在) (NP (IP (NP (NN 当地)) (VP (VV 观看) (NP (NN 开幕式)))) (NP (NN 直播)))) (DEG 的)) (NP (NN 时间))) (VP (VC 是) (NP (NT 11月11日14时))))) )
7-B,第16届亚运会于2010年11月12日20时在广州开幕。位于图中③地的我国某旅游团在当地观看开幕式直播的时间是	11月13日0时,None,3 24,5 11,,0,第16届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月13日0时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 13日 0时,num NN P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV NN NN DEG NN VC time,,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月13日0时）,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月13日0时）,,,实体信息陈述,实体信息陈述,3 11 24,5,第 16 届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月13日0时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 13日 0时,num NR P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV JJ NN DEG NN VC time,( (IP (IP (NP (QP (CD 第16届)) (NP (NN 亚运会))) (VP (PP (P 于) (NP (NT 2010年11月12日20时))) (PP (P 在) (NP (NR 广州))) (VP (VV 开幕)))) (PU 。) (IP (IP (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (DNP (NP (NR ③地)) (DEG 的)) (NP (NN 我国))))) (NP (NP (DP (DT 某)) (NP (NN 旅游团))) (DNP (PP (P 在) (NP (IP (NP (NN 当地)) (VP (VV 观看) (NP (NN 开幕式)))) (NP (NN 直播)))) (DEG 的)) (NP (NN 时间))) (VP (VC 是) (NP (NT 11月13日0时))))) )
7-C,第16届亚运会于2010年11月12日20时在广州开幕。位于图中③地的我国某旅游团在当地观看开幕式直播的时间是	11月12日14时,None,3 24,5 11,,0,第16届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月12日14时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 12日 14时,num NN P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV NN NN DEG NN VC time,,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月12日14时）,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月12日14时）,,,实体信息陈述,实体信息陈述,3 11 24,5,第 16 届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月12日14时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 12日 14时,num NR P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV JJ NN DEG NN VC time,( (IP (IP (NP (QP (CD 第16届)) (NP (NN 亚运会))) (VP (PP (P 于) (NP (NT 2010年11月12日20时))) (PP (P 在) (NP (NR 广州))) (VP (VV 开幕)))) (PU 。) (IP (IP (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (DNP (NP (NR ③地)) (DEG 的)) (NP (NN 我国))))) (NP (NP (DP (DT 某)) (NP (NN 旅游团))) (DNP (PP (P 在) (NP (IP (NP (NN 当地)) (VP (VV 观看) (NP (NN 开幕式)))) (NP (NN 直播)))) (DEG 的)) (NP (NN 时间))) (VP (VC 是) (NP (NT 11月12日14时))))) )
7-D,第16届亚运会于2010年11月12日20时在广州开幕。位于图中③地的我国某旅游团在当地观看开幕式直播的时间是	11月11日0时,None,3 24,5 11,,0,第16届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月11日0时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 11日 0时,num NN P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV NN NN DEG NN VC time,,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月11日0时）,实体信息陈述_0（位于图中③地的我国某旅游团在当地观看开幕式直播，时间，11月11日0时）,,,实体信息陈述,实体信息陈述,3 11 24,5,第 16 届 亚运会 于 2010年11月12日20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月11日0时,第 16 届 亚运会 于 2010年 11月 12日 20时 在 广州 开幕 。 位于 图 中 ③地 的 我国 某 旅游团 在 当地 观看 开幕式 直播 的 时间 是 11月 11日 0时,num NR P time P loc VV PU VV NN LC loc DEG NN DT NN P NN VV JJ NN DEG NN VC time,( (IP (IP (NP (QP (CD 第16届)) (NP (NN 亚运会))) (VP (PP (P 于) (NP (NT 2010年11月12日20时))) (PP (P 在) (NP (NR 广州))) (VP (VV 开幕)))) (PU 。) (IP (IP (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (DNP (NP (NR ③地)) (DEG 的)) (NP (NN 我国))))) (NP (NP (DP (DT 某)) (NP (NN 旅游团))) (DNP (PP (P 在) (NP (IP (NP (NN 当地)) (VP (VV 观看) (NP (NN 开幕式)))) (NP (NN 直播)))) (DEG 的)) (NP (NN 时间))) (VP (VC 是) (NP (NT 11月11日0时))))) )
8-A,图A中控制甲地的天气系统是	高压,None,,4,6 8,,图 A 中 控制 甲地 的 天气系统 是 高压,图 A 中 控制 甲地 的 天气 系统 是 高压,NN NN LC VV loc DEG term VC term,,实体信息陈述_0（图A中控制甲地的天气系统，是，高压）,实体信息陈述_0（图A中控制甲地的天气系统，是，高压）,,,实体信息陈述,实体信息陈述,,,图 A 中 控制 甲地 的 天气 系统 是 高压,图 A 中 控制 甲地 的 天气 系统 是 高压,NN NN LC VV loc DEG term VC term,( (IP (IP (LCP (NP (NN 图) (NN A)) (LC 中)) (VP (VV 控制) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 天气系统))))) (VP (VC 是) (NP (NN 高压)))) )
8-B,图A中控制甲地的天气系统是	低压,None,,4,6 8,,图 A 中 控制 甲地 的 天气系统 是 低压,图 A 中 控制 甲地 的 天气 系统 是 低压,NN NN LC VV loc DEG term VC term,,实体信息陈述_0（图A中控制甲地的天气系统，是，低压）,实体信息陈述_0（图A中控制甲地的天气系统，是，低压）,,,实体信息陈述,实体信息陈述,,,图 A 中 控制 甲地 的 天气 系统 是 低压,图 A 中 控制 甲地 的 天气 系统 是 低压,NN NN LC VV loc DEG term VC term,( (IP (IP (LCP (NP (NN 图) (NN A)) (LC 中)) (VP (VV 控制) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 天气系统))))) (VP (VC 是) (NP (NN 低压)))) )
8-C,图A中控制甲地的天气系统是	冷锋,None,,4,6 8,,图 A 中 控制 甲地 的 天气系统 是 冷锋,图 A 中 控制 甲地 的 天气 系统 是 冷锋,NN NN LC VV loc DEG term VC term,,实体信息陈述_0（图A中控制甲地的天气系统，是，冷锋）,实体信息陈述_0（图A中控制甲地的天气系统，是，冷锋）,,,实体信息陈述,实体信息陈述,,,图 A 中 控制 甲地 的 天气 系统 是 冷锋,图 A 中 控制 甲地 的 天气 系统 是 冷锋,NN NN LC VV loc DEG term VC term,( (IP (IP (LCP (NP (NN 图) (NN A)) (LC 中)) (VP (VV 控制) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 天气系统))))) (VP (VC 是) (NP (NN 冷锋)))) )
8-D,图A中控制甲地的天气系统是	暖锋,None,,4,6 8,,图 A 中 控制 甲地 的 天气系统 是 暖锋,图 A 中 控制 甲地 的 天气 系统 是 暖锋,NN NN LC VV loc DEG term VC term,,实体信息陈述_0（图A中控制甲地的天气系统，是，暖锋）,实体信息陈述_0（图A中控制甲地的天气系统，是，暖锋）,,,实体信息陈述,实体信息陈述,,,图 A 中 控制 甲地 的 天气 系统 是 暖锋,图 A 中 控制 甲地 的 天气 系统 是 暖锋,NN NN LC VV loc DEG term VC term,( (IP (IP (LCP (NP (NN 图) (NN A)) (LC 中)) (VP (VV 控制) (NP (DNP (NP (NR 甲地)) (DEG 的)) (NP (NN 天气系统))))) (VP (VC 是) (NP (NN 暖锋)))) )
9-A,关于图A中丙、丁两地天气的叙述正确的是	丙地气温较低，气压较高,y,,4 11,16,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丙地 气温 较 低 ， 气压 较 高,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低 ， 气压 较 高,P NN NN LC loc NN DEG NN VA DEC VC loc NN AD VA PU term AD VA,,实体信息陈述_0（丙地，气温，较低）实体信息陈述_1（丙地，气压，较高）,实体信息陈述_0（丙地，气温，较低）实体信息陈述_1（丙地，气压，较高）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低 ， 气压 较 高,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低 ， 气压 较 高,P NN PU NR loc NN DEG VV VA DEC VC loc NN AD VA PU term AD VA,( (IP (IP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (DNP (NP (NP (NR 丙、丁两地)) (NP (NN 天气))) (DEG 的)) (NP (NN 叙述)))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丙地)) (NP (NN 气温)) (VP (ADVP (AD 较)) (VP (VA 低)))))) (PU ，) (IP (NP (NN 气压)) (VP (ADVP (AD 较)) (VP (VA 高))))) )
9-A-0,关于图A中丙、丁两地天气的叙述正确的是	丙地气温较低,ed-ori,,4 11,,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丙地 气温 较 低,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低,P NN NN LC loc NN DEG NN VA DEC VC loc NN AD VA,,实体信息陈述_0（丙地，气温，较低）,实体信息陈述_0（丙地，气温，较低）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气温 较 低,P NN PU NR loc NN DEG VV VA DEC VC loc NN AD VA,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NR 丙、丁两地)) (NP (NN 天气)))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丙地)) (NP (NN 气温)) (VP (ADVP (AD 较)) (VP (VA 低)))))) )
9-A-1,关于图A中丙、丁两地天气的叙述正确的是	丙地气压较高,ed-mod,,4 11,12,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丙地 气压 较 高,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气压 较 高,P NN NN LC loc NN DEG NN VA DEC VC loc term AD VA,,实体信息陈述_0（丙地，气压，较高）,实体信息陈述_0（丙地，气压，较高）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气压 较 高,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 气压 较 高,P NN PU NR loc NN DEG VV VA DEC VC loc term AD VA,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NP (NR 丙、丁两地)) (NP (NN 天气))))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丙地) (NN 气压)) (VP (ADVP (AD 较)) (VP (VA 高)))))) )
9-B,关于图A中丙、丁两地天气的叙述正确的是	丁地比丙地气温低，气压高,y,,4 11 13,16,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低 ， 气压 高,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低 ， 气压 高,P NN NN LC loc NN DEG NN VA DEC VC loc P loc VV VA term NN VA,,比较_0（丁地，丙地，气温，低）比较_1（丁地，丙地，气压，高）,比较_0（丁地，丙地，气温，低）比较_1（丁地，丙地，气压，高）,0_12 1_12,0_12 1_12,比较,比较,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低 ， 气压 高,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低 ， 气压 高,P NN PU NR loc NN DEG VV VA DEC VC loc P loc VV JJ term NN VA,( (IP (IP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (DNP (NP (NP (NR 丙、丁两地)) (NP (NN 天气))) (DEG 的)) (NP (NN 叙述)))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (IP (NP (NR 丁地)) (VP (PP (P 比) (NP (NR 丙地))) (VP (VV 气温)))) (VP (VA 低))))) (IP (NP (NN ，) (NN 气压)) (VP (VA 高)))) )
9-B-0,关于图A中丙、丁两地天气的叙述正确的是	丁地比丙地气温低,ed-ori,,4 11 13,,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低,P NN NN LC loc NN DEG NN VA DEC VC loc P loc NN VA,,比较_0（丁地，丙地，气温，低）,比较_0（丁地，丙地，气温，低）,0_12,0_12,比较,比较,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气温 低,P NN PU NR loc NN DEG VV VA DEC VC loc P loc NN VA,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NP (NR 丙、丁两地)) (NP (NN 天气))))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丁地)) (VP (PP (P 比) (NP (NR 丙地) (NN 气温))) (VP (VA 低)))))) )
9-B-1,关于图A中丙、丁两地天气的叙述正确的是	丁地比丙地气压高,ed-mod,,4 11 13,14,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丁地 比 丙地 气压 高,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气压 高,P NN NN LC loc NN DEG NN VA DEC VC loc P loc term VA,,比较_0（丁地，丙地，气压，高）,比较_0（丁地，丙地，气压，高）,0_12,0_12,比较,比较,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气压 高,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 比 丙地 气压 高,P NN PU NR loc NN DEG VV VA DEC VC loc P loc term JJ,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NP (NR 丙、丁两地)) (NP (NN 天气))))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丁地)) (VP (PP (P 比) (NP (NR 丙地) (NN 气压))) (VP (VA 高)))))) )
9-C,关于图A中丙、丁两地天气的叙述正确的是	丁地为西北风,None,,4 11,13,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丁地 为 西北风,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 为 西北 风,P NN NN LC loc NN DEG NN VA DEC VC loc VC term,,实体信息陈述_0（丁地，#，西北风）,实体信息陈述_0（丁地，#，西北风）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 为 西北 风,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 为 西北 风,P NN PU NR loc NN DEG VV VA DEC VC loc VV term,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NP (NR 丙、丁两地)) (NP (NN 天气))))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丁地)) (VP (VC 为) (NP (NN 西北风)))))) )
9-D,关于图A中丙、丁两地天气的叙述正确的是	丙地多阴雨，丁地晴朗,y,,4 11 15,,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丙地 多 阴雨 ， 丁地 晴朗,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨 ， 丁地 晴朗,P NN NN LC loc NN DEG NN VA DEC VC loc AD VV PU loc VA,,实体信息陈述_0（丙地，#，多阴雨）实体信息陈述_1（丁地，#，晴朗）,实体信息陈述_0（丙地，#，多阴雨）实体信息陈述_1（丁地，#，晴朗）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨 ， 丁地 晴朗,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨 ， 丁地 晴朗,P NN PU NR loc NN DEG VV VA DEC VC loc AD NN PU loc NN,( (IP (IP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (DNP (NP (NP (NR 丙、丁两地)) (NP (NN 天气))) (DEG 的)) (NP (NN 叙述)))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丙地)) (VP (ADVP (AD 多)) (VP (VV 阴雨)))))) (PU ，) (IP (NP (NR 丁地)) (VP (VA 晴朗)))) )
9-D-0,关于图A中丙、丁两地天气的叙述正确的是	丙地多阴雨,ed-ori,,4 11,,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丙地 多 阴雨,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨,P NN NN LC loc NN DEG NN VA DEC VC loc AD VV,,实体信息陈述_0（丙地，#，多阴雨）,实体信息陈述_0（丙地，#，多阴雨）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丙地 多 阴雨,P NN PU NR loc NN DEG VV VA DEC VC loc AD NN,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NP (NR 丙、丁两地)) (NP (NN 天气))))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丙地)) (VP (ADVP (AD 多)) (VP (VV 阴雨)))))) )
9-D-1,关于图A中丙、丁两地天气的叙述正确的是	丁地晴朗,ed-ori,,4 11,,,关于 图 A 中 丙、丁两地 天气 的 叙述 正确 的 是 丁地 晴朗,关于 图 A 中 丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 晴朗,P NN NN LC loc NN DEG NN VA DEC VC loc VA,,实体信息陈述_0（丁地，#，晴朗）,实体信息陈述_0（丁地，#，晴朗）,,,实体信息陈述,实体信息陈述,,,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 晴朗,关于 图 A 中丙 、 丁 两 地 天气 的 叙述 正确 的 是 丁地 晴朗,P NN PU NR loc NN DEG VV VA DEC VC loc VA,( (IP (NP (DNP (PP (P 关于) (NP (LCP (NP (NN 图) (NN A)) (LC 中)) (NP (NR 丙、丁两地)) (NP (NN 天气)))) (DEG 的)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 丁地)) (VP (VA 晴朗))))) )
